created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted
Tue Jun 15 23:19:58 +0000 2021,1404941785302974465,1404941785302974465,"A cobra pode trocar de pele, mas o veneno continua sendo letal 🤨
https://t.co/kWlJSU1UG3",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kWlJSU1UG3', 'expanded_url': 'https://www.google.com/amp/s/oglobo.globo.com/brasil/para-enfrentar-bolsonaro-pt-adota-verde-amarelo-no-segundo-turno-23145788%3fversao=amp', 'display_url': 'google.com/amp/s/oglobo.g…', 'indices': [65, 88]}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 870826277355343873, 'id_str': '870826277355343873', 'name': 'Adriano Aldeia', 'screen_name': 'aaldeia_mv', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 20, 'friends_count': 29, 'listed_count': 0, 'created_at': 'Sat Jun 03 02:15:38 +0000 2017', 'favourites_count': 9, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 26130, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1119818303332024320/3rOTjrWz_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1119818303332024320/3rOTjrWz_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/870826277355343873/1580078026', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False
Tue Jun 15 23:19:58 +0000 2021,1404941784355160064,1404941784355160064,"RT @felipeneto: O decreto que Jair Bolsonaro quer implementar vai impedir toda rede social de apagar:

- fakenews
- desinformação sobre pan…",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'felipeneto', 'name': 'Felipe Neto', 'id': 14128609, 'id_str': '14128609', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 306502103, 'id_str': '306502103', 'name': 'Liss', 'screen_name': '_1ovo', 'location': '', 'description': 'Desde 1994 estragando tudo e decepcionando pessoas.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 510, 'friends_count': 304, 'listed_count': 2, 'created_at': 'Sat May 28 00:26:16 +0000 2011', 'favourites_count': 5, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 70748, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1391369446111973381/gSpoI8G7_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1391369446111973381/gSpoI8G7_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/306502103/1402146105', 'profile_link_color': '3361D6', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': '000000', 'profile_text_color': 'C7C7C7', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,434,0,False,False
Tue Jun 15 23:19:58 +0000 2021,1404941782631305217,1404941782631305217,RT @muylaerte: Kalil já sinalizou que não apoiará nem Bolsonaro nem Lula na eleição do ano que vem. Kalil é forte em Minas e deve se eleger…,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'muylaerte', 'name': 'muylaerte', 'id': 1367159350876385285, 'id_str': '1367159350876385285', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 47960274, 'id_str': '47960274', 'name': 'diulza angelica', 'screen_name': 'diulza', 'location': 'Santo andre', 'description': 'Mãe de 4 filhos, avó de 5. Fazer a coisa certa sempre. Não quero que me siga quem apoia o genocida miliciano lá na republica.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 868, 'friends_count': 624, 'listed_count': 11, 'created_at': 'Wed Jun 17 13:31:48 +0000 2009', 'favourites_count': 23936, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 96248, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1394655885704761348/jZ0yfYQX_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1394655885704761348/jZ0yfYQX_normal.jpg', 'profile_link_color': '19CF86', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,24,0,False,False
Tue Jun 15 23:19:58 +0000 2021,1404941782014644224,1404941782014644224,RT @pnplstorm: Motociata contra Bolsonaro no Egito 🇪🇬 https://t.co/giXH8i9rWb,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pnplstorm', 'name': 'Pineapple Storm', 'id': 912098031687921664, 'id_str': '912098031687921664', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1404802307586506756, 'id_str': '1404802307586506756', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1404802307586506756/pu/img/gQHvmgO8YVJTEkBO.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1404802307586506756/pu/img/gQHvmgO8YVJTEkBO.jpg', 'url': 'https://t.co/giXH8i9rWb', 'display_url': 'pic.twitter.com/giXH8i9rWb', 'expanded_url': 'https://twitter.com/pnplstorm/status/1404802607638626312/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 772, 'h': 720, 'resize': 'fit'}, 'medium': {'w': 772, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 634, 'resize': 'fit'}}, 'source_status_id': 1404802607638626312, 'source_status_id_str': '1404802607638626312', 'source_user_id': 912098031687921664, 'source_user_id_str': '912098031687921664'}]}","{'iso_language_code': 'es', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 789694173460963328, 'id_str': '789694173460963328', 'name': 'Marcão', 'screen_name': 'Marcosandree22', 'location': 'Belford Roxo city', 'description': 'Campeão da América e 8tacampeão brasileiro!!🏆🏆🏆🏆🏆🏆🏆🏆❤️🖤\n\nOTO🌊\n\n\n\n\nFé!!\n\n@Flamengo\n\nInstagram📷: xmarcos90x', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 287, 'friends_count': 1590, 'listed_count': 0, 'created_at': 'Sat Oct 22 05:05:37 +0000 2016', 'favourites_count': 37446, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 6893, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1297640687047933952/GjldgNnx_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1297640687047933952/GjldgNnx_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/789694173460963328/1614319777', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,1952,0,False,False
Tue Jun 15 23:19:57 +0000 2021,1404941780370575367,1404941780370575367,RT @RubensOtoni: 🔴🦠💉AGORA É TARDE-Depois de rejeitar diversas ofertas de VACINA durante todo o ano de 2020 Bolsonaro agora tenta adiantar o…,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RubensOtoni', 'name': 'Rubens Otoni', 'id': 54539654, 'id_str': '54539654', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1058088575592525824, 'id_str': '1058088575592525824', 'name': 'elis', 'screen_name': 'elis20715486', 'location': 'Rio de Janeiro, Brasil', 'description': '#LulaLivre', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1724, 'friends_count': 2978, 'listed_count': 0, 'created_at': 'Thu Nov 01 20:09:09 +0000 2018', 'favourites_count': 159661, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 75435, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1151972789190111232/qvIJx4oo_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1151972789190111232/qvIJx4oo_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1058088575592525824/1563486968', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,50,0,False,False
Tue Jun 15 23:19:57 +0000 2021,1404941779657531393,1404941779657531393,Revealed: Canadian pension funds invested nearly $1B in Bolsonaro-led water privatization scheme… https://t.co/E4jR8bWXS7,True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/E4jR8bWXS7', 'expanded_url': 'https://twitter.com/i/web/status/1404941779657531393', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [98, 121]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 18923250, 'id_str': '18923250', 'name': 'bgaulke', 'screen_name': 'bgaulke', 'location': 'Canada', 'description': 'Born 312 ppm CO2\nRetired Health Physicist, Certified by the American Board of Health Physics, emeritus. #WaterNotGold End gold mining.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 340, 'friends_count': 963, 'listed_count': 6, 'created_at': 'Tue Jan 13 01:15:52 +0000 2009', 'favourites_count': 8513, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 10618, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1A1B1F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1284478975293689864/yJHqaoFb_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1284478975293689864/yJHqaoFb_normal.jpg', 'profile_link_color': '2FC2EF', 'profile_sidebar_border_color': '181A1E', 'profile_sidebar_fill_color': '252429', 'profile_text_color': '666666', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False
Tue Jun 15 23:19:57 +0000 2021,1404941778214662151,1404941778214662151,"RT @Estadao: FAKE NEWS DA MOTOCIATA ❌ Não, Guinness Book não divulgou que manifestação de Bolsonaro reuniu 1,3 milhão de motos em SP; confi…",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Estadao', 'name': 'Estadão', 'id': 9317502, 'id_str': '9317502', 'indices': [3, 11]}], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1377032658979540995, 'id_str': '1377032658979540995', 'name': 'Renato Marra', 'screen_name': 'Renato58315986', 'location': '', 'description': 'MEU TWITER MINHAS  REGRAS BATEU LEVOU👊😼', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4, 'friends_count': 105, 'listed_count': 0, 'created_at': 'Tue Mar 30 22:59:15 +0000 2021', 'favourites_count': 385, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 89, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1377032974496100352/qnku5GHT_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1377032974496100352/qnku5GHT_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1377032658979540995/1618961683', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,867,0,False,False
Tue Jun 15 23:19:56 +0000 2021,1404941774846664729,1404941774846664729,"O Pondé votou em Bolsonaro, hoje desce o pau no PR e diz que a culpa do seu desgoverno é do PT. Pondé é um ""jênio"".   🤔",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1279230092544225280, 'id_str': '1279230092544225280', 'name': 'Luciovalter', 'screen_name': 'ValterF12', 'location': ' Brasil', 'description': 'O Capitalismo sem justiça social é o grande mal da humanidade.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 456, 'friends_count': 806, 'listed_count': 0, 'created_at': 'Sat Jul 04 01:50:16 +0000 2020', 'favourites_count': 3676, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 3493, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1357181805158404101/PRyf123o_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1357181805158404101/PRyf123o_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False
Tue Jun 15 23:19:56 +0000 2021,1404941773886132227,1404941773886132227,"(perry acorda de madrugada)

perry: mas que barulheira é essa? inferno posso nem dormir.

ele abre a porta do quart… https://t.co/i6rXblLGNG",True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/i6rXblLGNG', 'expanded_url': 'https://twitter.com/i/web/status/1404941773886132227', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1211820615587336192, 'id_str': '1211820615587336192', 'name': ""lui⚢︎ evelyn hugo's gf"", 'screen_name': 'luieo_7', 'location': 'Brasil', 'description': ""#MILLIE: 𝐁𝐮𝐭 𝐬𝐡𝐞'𝐬 𝐧𝐨𝐭 𝐣𝐮𝐬𝐭 𝐚 𝐩𝐫𝐢𝐧𝐜𝐞𝐬𝐬. 𝐒𝐡𝐞'𝐬 𝐦𝐲 𝐩𝐫𝐢𝐧𝐜𝐞𝐬𝐬.\n\n      (o/ele/-o) + (a/ela/-a)"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 864, 'friends_count': 1111, 'listed_count': 9, 'created_at': 'Tue Dec 31 01:25:40 +0000 2019', 'favourites_count': 109957, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 7833, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1401581782328172547/wnvuAQu6_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1401581782328172547/wnvuAQu6_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1211820615587336192/1622998049', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False
Tue Jun 15 23:19:55 +0000 2021,1404941771151392770,1404941771151392770,"RT @felipeneto: O decreto que Jair Bolsonaro quer implementar vai impedir toda rede social de apagar:

- fakenews
- desinformação sobre pan…",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'felipeneto', 'name': 'Felipe Neto', 'id': 14128609, 'id_str': '14128609', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1275807143678152708, 'id_str': '1275807143678152708', 'name': 'Vanjabel', 'screen_name': 'vanjabel', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 69, 'friends_count': 769, 'listed_count': 0, 'created_at': 'Wed Jun 24 15:05:19 +0000 2020', 'favourites_count': 36988, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 6323, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1380051355012841473/viyPAyW4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1380051355012841473/viyPAyW4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1275807143678152708/1610991436', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,434,0,False,False
Tue Jun 15 23:19:55 +0000 2021,1404941770438365188,1404941770438365188,"RT @EnockFormiga: MITO!
Bolsonaro é um gênio : Matou o Dória politicamente, expôs os traidores, acordou o povo e desmoralizou a mídia! E ai…",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EnockFormiga', 'name': 'Enock Formiga 🐜 🇧🇷', 'id': 791951026265821184, 'id_str': '791951026265821184', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1117469512004141057, 'id_str': '1117469512004141057', 'name': '🐾Meiga sim;atrevida às vezes.🌶️', 'screen_name': 'Chegademimi1', 'location': 'Rio de Janeiro, Brasil', 'description': 'Os contidos que me perdoem,mas nasci prá ser intensa.🌶️\nOs canhotos não me representam.\nDeus a cima de tudo!🙌\n#EuAutorizoPreSideNte', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 609, 'friends_count': 792, 'listed_count': 0, 'created_at': 'Sun Apr 14 16:47:48 +0000 2019', 'favourites_count': 28360, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 28886, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1352297278644641792/ZcFpEX6C_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1352297278644641792/ZcFpEX6C_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1117469512004141057/1611410846', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,1047,0,False,False
Tue Jun 15 23:19:55 +0000 2021,1404941769679253509,1404941769679253509,RT @daneldix: que mané chuck bass o renan bolsonaro é a cara do randall (largatixa dos monstros s.a.) https://t.co/PQGNtzosJx,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'daneldix', 'name': 'daniel', 'id': 1133542550676094978, 'id_str': '1133542550676094978', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1404847928947138561, 'id_str': '1404847928947138561', 'indices': [102, 125], 'media_url': 'http://pbs.twimg.com/media/E38Fv4hWYAE00vg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E38Fv4hWYAE00vg.jpg', 'url': 'https://t.co/PQGNtzosJx', 'display_url': 'pic.twitter.com/PQGNtzosJx', 'expanded_url': 'https://twitter.com/daneldix/status/1404847937042141190/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 676, 'h': 454, 'resize': 'fit'}, 'large': {'w': 676, 'h': 454, 'resize': 'fit'}, 'medium': {'w': 676, 'h': 454, 'resize': 'fit'}}, 'source_status_id': 1404847937042141190, 'source_status_id_str': '1404847937042141190', 'source_user_id': 1133542550676094978, 'source_user_id_str': '1133542550676094978'}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 957374139395866625, 'id_str': '957374139395866625', 'name': '⛈🦋', 'screen_name': 'speedy_duda', 'location': 'São Paulo, Brasil', 'description': 'SCCP 🦅🖤', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 113, 'friends_count': 203, 'listed_count': 0, 'created_at': 'Sat Jan 27 22:05:56 +0000 2018', 'favourites_count': 17495, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 10049, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1388703351676735490/_BzZdN6I_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1388703351676735490/_BzZdN6I_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/957374139395866625/1621559744', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,269,0,False,False
